instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
F.04 1 262 21 20 21 20
C.18 1 230 1 1 1 1
A.04 1 15 1 1 1 1
C.02 1 240 1 1 1 1
E.01 1 172 0 0 0 0
F.20 1 410 709 583 709 599
B.20 1 91 2 2 2 2
C.08 1 229 1 1 1 1
B.11 1 79 1 1 1 1
C.10 1 246 2 2 2 2
B.06 1 79 1 1 1 1
F.08 1 380 50 27 50 47
B.07 1 81 2 2 2 2
E.04 1 83 0 0 0 0
C.01 1 241 1 1 1 1
B.10 1 81 1 1 1 1
A.15 1 9 1 1 1 1
C.19 1 238 2 2 2 2
B.02 1 79 1 1 1 1
E.06 1 90 0 0 0 0
E.18 1 93 0 0 0 0
C.20 1 234 1 1 1 1
F.02 1 273 1 1 1 1
F.11 1 232 1 1 1 1
F.12 1 278 1 1 1 1
E.05 1 272 0 0 0 0
B.16 1 88 1 1 1 1
A.08 1 8 1 1 1 1
C.14 1 320 1 1 1 1
F.16 1 234 6 6 6 6
F.06 1 324 20 19 20 19
A.03 1 9 1 1 1 1
E.19 1 93 0 0 0 0
C.15 1 243 1 1 1 1
A.16 1 10 1 1 1 1
B.14 1 92 1 1 1 1
A.02 1 9 1 1 1 1
F.14 1 228 1 1 1 1
F.05 1 262 2 2 2 2
B.09 1 83 1 1 1 1
A.01 1 17 1 1 1 1
C.05 1 296 1 1 1 1
B.01 1 110 1 1 1 1
A.09 1 9 1 1 1 1
A.07 1 8 1 1 1 1
F.03 1 342 1 1 1 1
E.12 1 285 0 0 0 0
C.06 1 320 1 1 1 1
C.09 1 230 1 1 1 1
B.17 1 85 1 1 1 1
C.07 1 286 1 1 1 1
E.09 1 284 0 0 0 0
E.17 1 54 0 0 0 0
C.11 1 293 1 1 1 1
F.10 1 51 0 0 0 0
A.17 1 15 1 1 1 1
B.15 1 104 1 1 1 1
E.03 1 112 0 0 0 0
F.19 1 277 8 8 8 8
A.12 1 9 1 1 1 1
B.08 1 84 1 1 1 1
F.17 1 300 19 19 19 19
C.04 1 322 2 2 2 2
B.19 1 119 1 1 1 1
C.16 1 229 1 1 1 1
C.17 1 228 2 2 2 2
E.08 1 151 0 0 0 0
F.13 1 509 43 40 43 40
A.20 1 15 1 1 1 1
E.02 1 59 0 0 0 0
E.16 1 122 0 0 0 0
B.12 1 93 1 1 1 1
F.09 1 302 30 28 30 28
A.10 1 9 1 1 1 1
F.18 1 264 1 1 1 1
E.10 1 270 1 1 1 1
A.06 1 9 1 1 1 1
E.15 1 181 0 0 0 0
E.07 1 33 0 0 0 0
E.11 1 109 0 0 0 0
B.03 1 84 1 1 1 1
B.18 1 78 2 2 2 2
C.03 1 257 1 1 1 1
