instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
F.04 1 262 957 1523 264 109
C.18 1 230 3144 3778 2638 90
A.04 1 15 50 132 32 11
C.02 1 240 3060 3625 2768 89
E.01 1 172 195 1813 194 120
F.20 1 410 584 1513 407 106
B.20 1 91 247 1083 92 45
C.08 1 229 3149 3915 2973 155
B.11 1 79 841 1216 630 54
C.10 1 246 567 4367 309 112
B.06 1 79 756 1328 567 62
F.08 1 380 543 1849 368 102
B.07 1 81 217 1164 107 61
E.04 1 83 53 1568 53 195
C.01 1 241 3212 3696 2732 111
B.10 1 81 788 1092 622 53
A.15 1 9 72 125 46 14
C.19 1 238 3503 4476 2670 85
B.02 1 79 734 1101 682 54
E.06 1 90 136 1604 141 131
E.18 1 93 105 1507 156 213
C.20 1 234 3234 3814 2668 91
F.02 1 273 885 1664 386 224
F.11 1 232 686 1750 321 119
F.12 1 278 670 1649 332 162
E.05 1 272 354 1650 392 113
B.16 1 88 773 1173 739 87
A.08 1 8 71 136 26 20
C.14 1 320 3219 3734 2685 93
F.16 1 234 1678 1738 268 118
F.06 1 324 889 1490 341 146
A.03 1 9 49 118 34 17
E.19 1 93 69 1779 48 144
C.15 1 243 3302 4162 2734 106
A.16 1 10 46 99 35 22
B.14 1 92 769 1686 924 40
A.02 1 9 54 109 25 11
F.14 1 228 620 1656 353 205
F.05 1 262 480 1637 335 166
B.09 1 83 756 1023 611 43
A.01 1 17 77 164 39 22
C.05 1 296 3086 3711 2980 91
B.01 1 110 749 1021 554 46
A.09 1 9 54 126 26 12
A.07 1 8 62 162 45 24
F.03 1 342 680 1581 373 107
E.12 1 285 162 1651 138 98
C.06 1 320 3634 3829 2903 109
C.09 1 230 3103 3645 3137 144
B.17 1 85 889 1677 601 77
C.07 1 286 3511 3937 2821 127
E.09 1 284 221 1688 204 142
E.17 1 54 109 1546 134 111
C.11 1 293 3280 3935 2698 119
F.10 1 51 33 1743 46 124
A.17 1 15 67 135 25 23
B.15 1 104 745 1119 637 69
E.03 1 112 222 1633 143 111
F.19 1 277 1682 1556 343 105
A.12 1 9 69 98 42 19
B.08 1 84 759 1140 623 44
F.17 1 300 629 1867 274 118
C.04 1 322 541 3962 310 85
B.19 1 119 787 1083 541 80
C.16 1 229 3539 3662 2812 148
C.17 1 228 566 3761 295 101
E.08 1 151 225 1477 254 217
F.13 1 509 624 1790 402 157
A.20 1 15 47 120 24 12
E.02 1 59 60 1464 57 92
E.16 1 122 69 1773 66 177
B.12 1 93 774 1078 559 61
F.09 1 302 566 1562 355 136
A.10 1 9 56 95 25 14
F.18 1 264 732 1894 331 124
E.10 1 270 616 1584 364 144
A.06 1 9 49 121 47 21
E.15 1 181 91 1635 90 120
E.07 1 33 135 1590 106 199
E.11 1 109 250 1497 304 92
B.03 1 84 860 1147 628 73
B.18 1 78 260 1103 88 44
C.03 1 257 3391 3895 2687 159
A.18 1 15 65 95 46 10
F.15 1 226 625 1521 301 123
A.19 1 9 53 96 44 19
C.12 1 253 493 3631 293 85
B.05 1 110 808 1100 580 48
A.13 1 10 56 100 44 15
A.05 1 15 70 156 41 20
F.01 1 233 670 1623 275 92
