instance "si-noninduced-gss-20201208" "si-parity-gss-20201208" "si-moreoddthaneven-gss-20201208" "si-lessthreeodd-gss-20201208" "si-noninduced-minion-preprocess-gac-20201208" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201208" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201208" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201208" "si-moreoddthaneven-minion-preprocess-gac-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201208" "si-lessthreeodd-minion-preprocess-gac-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201208" "si-parity-minion-preprocess-gac-20201208" "si-parity-hybrid-preprocess-gac-comm-checker-20201208" "si-parity-hybrid-preprocess-gac-comm-propagate-20201208" "si-parity-hybrid-preprocess-gac-comm-rollback-20201208" "si-noninduced-pathlad-20201208" "si-noninduced-vf2-20201208" "si-noninduced-ri-20201208"
F.04 0.307684 0.277495 0.310131 0.279594 NaN 86.3785 91.7921 86.3597 NaN 92.6042 92.6572 93.0783 NaN 85.6271 91.9116 89.3686 NaN 86.5439 84.8015 87.5686 0.169849 3600.01 0.0802209
C.18 0.283344 0.237801 0.244738 0.245425 699.124 34.6066 34.7108 34.7811 725.512 37.0668 38.7564 38.0201 1978.55 36.8268 36.0858 37.154 67.8641 44.267 44.5773 43.3346 0.0824393 3600.01 0.0421665
A.04 0.123598 0.014608 0.0161594 0.0162509 11.654 4.20194 4.33347 4.36135 12.1525 4.92903 4.77938 4.82421 15.1655 4.57292 4.72657 4.392 4.68952 4.54555 4.8955 4.60274 0.00775499 0.0702444 0.0276182
C.02 0.319376 0.226373 0.277166 0.249884 127.638 37.1656 39.4319 39.6553 125.391 43.4977 43.4972 42.2232 1852.41 38.4594 39.7825 38.191 66.0409 50.347 45.8996 46.0445 0.0895154 3600.01 0.0687297
E.01 0.35674 0.191206 0.193029 0.194019 NaN 94.9892 95.1357 92.5577 NaN 89.8459 92.3398 92.7182 NaN 91.7467 95.2171 91.8441 NaN 93.7055 91.0655 91.3028 0.0362191 3600.01 3600.02
F.20 0.517487 0.393993 0.449946 0.482345 NaN 84.3863 261.023 89.8306 NaN 91.9757 249.287 96.3998 NaN 100.957 137 105.383 NaN 92.9331 88.4985 80.1326 3.26852 3600.01 3600.02
B.20 0.190519 0.0808924 0.147905 0.132288 68.9423 15.3596 15.4677 15.5946 459.859 17.1507 17.0491 16.8392 450.304 16.2526 15.8032 16.0782 23.5918 18.2576 18.0858 17.8691 0.049229 3600.01 0.0330441
C.08 0.293998 0.226867 0.276274 0.279411 1352.81 39.1045 38.1365 39.5155 1742.2 41.1059 40.232 38.5154 1709.02 39.1104 38.4125 37.4627 68.8199 45.8273 44.5348 43.8866 0.0901396 3600.01 0.0751466
B.11 0.170964 0.0766744 0.169825 0.117838 230.525 16.488 16.8571 16.1478 410.075 16.8636 17.3921 17.4042 417.978 16.2087 16.257 16.9452 23.8572 19.3533 18.2219 18.1737 0.0390971 3600.02 0.0351204
C.10 0.318823 0.219218 0.276126 0.317103 610.075 36.4931 38.0191 36.1657 609.525 39.0999 38.8987 39.136 1721.31 37.9911 37.4194 36.3549 63.3789 46.0442 45.4005 45.2959 0.125145 3600.01 0.0481885
B.06 0.156276 0.0718623 0.12433 0.0892402 106.038 16.0391 16.3805 16.7795 105.11 17.2604 17.294 17.5047 414.733 15.8401 15.9836 16.3222 22.5454 18.5445 18.1385 18.2606 0.029331 3600.02 0.0349118
F.08 0.362709 0.343267 0.35611 0.390655 NaN 102.343 112.124 99.562 NaN 97.5542 106.837 101.726 NaN 99.3932 109.017 102.425 NaN 101.135 96.9024 93.8915 1.24256 3600.01 3600.02
B.07 0.165659 0.138903 0.092304 0.0901799 393.487 18.5385 19.2872 19.4182 420.489 21.2957 22.0763 20.676 450.319 19.0587 19.3755 19.6837 27.3238 22.6932 21.8403 21.45 0.029512 3600.01 0.0361868
E.04 0.106394 0.104928 0.166945 0.167939 NaN 103.604 125.294 103.527 NaN 120.737 98.3727 104.789 NaN 112.678 109.716 117.358 NaN 119.161 103.805 111.032 0.0225656 3600.02 3600.02
C.01 0.28025 0.216061 0.281144 0.309893 921.888 41.7504 43.2951 43.2105 1812.23 43.825 43.6649 44.8975 1904.41 43.3353 44.1832 43.156 60.5523 52.9566 51.0366 50.4353 0.120765 3600.01 0.0421495
