instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
F.04 0.28605 0.170838 1000.01 0.0704851 NaN 17.3712 25.5945 25.0923 17.7377 18.0156 NaN 17.9167 25.3819 26.962 18.931 18.8127 NaN 16.587 21.4726 21.6584 18.5737 18.4464 NaN 16.4968 16.568 16.3213 16.6353 16.0454
C.18 0.27329 0.0783472 1000.01 0.042943 660.452 22.4205 22.1428 22.3339 22.5155 23.0926 645.465 24.1485 24.4556 24.7148 25.2864 24.7224 NaN 22.7301 22.5173 22.6743 22.4001 22.5517 951.937 21.8733 21.4849 21.855 22.1779 21.8478
A.04 0.0176425 0.00688191 0.0559173 0.0251463 9.89241 3.19621 3.12352 3.16868 3.09548 3.23408 10.8559 3.50588 3.50635 3.59378 3.60027 3.46169 13.2435 3.39367 3.24584 3.21725 3.32331 3.27041 7.85617 3.09448 3.11178 3.3876 3.41628 3.00365
C.02 0.384765 0.0891348 1000.01 0.047398 89.3921 23.7016 23.7867 23.9283 24.3736 25.2537 91.4622 26.9919 27.6419 26.2544 25.9668 26.0075 NaN 25.0142 23.6359 23.1931 23.6954 25.1574 834.726 22.4369 23.2109 22.6163 22.4825 21.9006
E.01 0.218749 0.0251485 1000.01 1000.02 NaN 17.0904 17.4925 17.3931 17.281 16.8755 NaN 17.581 17.6755 17.9016 18.4061 17.8803 NaN 17.677 17.9858 18.0166 18.1459 18.1651 NaN 17.2707 17.1508 17.2699 17.3555 16.3566
F.20 0.435111 3.19273 1000.01 1000.02 NaN 17.5342 152.364 151.901 17.0681 36.0507 NaN 18.3805 146.521 161.984 18.1569 35.4265 NaN 23.757 105.39 108.948 20.7674 38.0671 NaN 16.3571 17.0849 17.0484 16.6422 17.0913
B.20 0.106774 0.0315503 1000.01 0.0334536 71.2304 13.4281 13.5366 13.5706 13.1189 13.3589 486.86 14.5256 15.0136 14.4315 14.7033 14.1077 506.175 14.083 13.839 13.7492 13.9351 14.0186 245.782 13.1636 12.3185 12.1178 11.9662 12.4114
C.08 0.324106 0.084526 1000.01 0.0755269 NaN 25.3756 25.8319 26.0681 25.7354 26.3695 NaN 28.9514 28.1244 27.9264 27.7407 28.8151 NaN 27.099 26.4575 26.7922 26.4371 26.6025 958.756 25.7915 24.1511 24.0644 24.5774 24.369
B.11 0.140041 0.037916 1000.01 0.0297027 234.835 13.5993 13.5757 13.5979 13.9355 13.585 457.94 14.8135 14.8807 14.6245 14.8663 14.7706 453.898 13.9118 13.997 13.7438 13.9323 13.7732 226.449 13.122 11.6179 11.4308 11.5701 11.2744
C.10 0.313086 0.0783189 1000.01 0.0368079 614.278 25.4078 26.071 25.7336 26.5278 25.7688 657.444 27.8608 29.1811 31.8556 28.8628 28.5884 NaN 26.5633 26.6981 26.9705 26.7504 26.9848 NaN 25.8813 24.7743 25.3204 24.0992 24.7587
B.06 0.153057 0.0269481 1000.01 0.0308823 111.084 13.1368 13.595 13.9548 13.1919 13.7728 108.366 14.6312 15.1868 15.1305 15.1293 15.131 483.843 13.7999 13.9477 13.8112 13.7973 13.8399 227.925 13.1673 12.5503 12.5082 12.4056 12.5544
F.08 0.424201 1.24219 1000.01 1000.03 NaN 22.5098 41.6591 34.8775 22.3093 22.2456 NaN 22.8086 40.4929 35.2358 22.957 22.6924 NaN 23.3755 40.5331 43.1032 26.704 26.9222 NaN 21.1996 21.0176 21.0306 20.6544 20.5987
B.07 0.103473 0.0279519 1000.01 0.0333513 338.44 12.2022 12.5281 12.4944 12.2778 12.4658 345.729 13.4532 13.771 13.4722 13.5479 13.5997 406.35 12.0589 11.8943 12.0285 12.0196 11.746 205.622 11.4121 11.7151 12.1475 11.9841 11.6045
E.04 0.102858 0.0182745 1000.01 1000.02 NaN 18.524 18.5711 18.7192 18.1492 18.3583 NaN 19.5585 18.7739 18.956 19.0731 19.0764 NaN 18.0713 17.8364 18.1541 17.7764 18.398 NaN 18.1744 18.2079 18.6207 18.4111 18.0258
C.01 0.272467 0.0758533 1000.01 0.0403853 901.599 24.295 25.2375 25.4515 25.5498 25.2452 NaN 27.5393 27.4436 27.5705 27.1554 26.9418 NaN 25.1379 23.9759 24.2647 23.9029 23.8218 896.051 23.0954 22.95 23.3387 23.1144 22.8696
B.10 0.115198 0.026945 1000.01 0.0295208 214.712 11.7935 12.4616 12.187 11.9802 12.1074 372.124 13.57 13.2249 13.5203 12.9008 13.4179 372.162 11.6049 11.5732 11.5407 11.46 11.9741 189.492 10.7889 10.6347 10.6504 11.3245 10.7436
A.15 0.0239391 0.0049221 1000 0.0253359 12.5302 4.42505 3.94654 4.02987 4.70988 4.47188 19.0712 5.28351 5.32732 5.2666 5.38095 5.48199 18.6082 4.70403 4.73494 4.53888 4.39738 4.6174 9.62812 4.28346 4.09729 4.22469 3.87898 3.78096
C.19 0.272621 0.0793778 1000.01 0.0386527 87.5129 23.6307 24.6243 25.0643 24.0209 24.5121 NaN 27.1862 25.6238 25.9631 25.8565 25.8897 NaN 25.3345 25.0158 24.1076 25.507 25.4852 NaN 23.4006 22.5718 22.6866 23.1417 22.7455
B.02 0.0990327 0.0260284 1000.01 0.0340964 194.994 11.881 11.8907 11.5753 11.7474 11.5853 198.499 13.037 13.245 12.7595 13.0843 12.722 437.993 11.1681 11.9377 11.3561 11.6273 11.1578 215.032 10.4353 10.6462 10.8119 10.0959 9.70869
E.06 0.110372 0.0179489 1000.01 227.048 NaN 18.4295 17.7775 17.8143 17.3708 17.5268 NaN 18.4825 18.1867 18.1456 18.4459 18.21 NaN 17.513 17.7239 18.2684 17.4908 17.8983 NaN 17.641 17.1907 17.4253 17.0101 16.9237
